area_name,area_code,tSNE_1,tSNE_2,unemployment_rate,pct_private_rented_2021,pct_level4,pct_no_quals
Mid Devon,E07000042,0.19367537,4.5657425,0.0271,0.1856,0.2645,0.2266
North Devon,E07000043,1.2551861,1.2935735,0.0304,0.204,0.2292,0.2405
South Hams,E07000044,0.17166916,15.566722,0.0235,0.1608,0.3427,0.1724
Teignbridge,E07000045,0.08489013,5.965223,0.0277,0.1785,0.2797,0.2155
Torridge,E07000046,0.7410366,-0.31635845,0.0341,0.202,0.2167,0.2541
West Devon,E07000047,-0.18167962,7.958093,0.0307,0.1824,0.3003,0.2033
Cheltenham,E07000078,13.539351,1.5718961,0.0334,0.234,0.3623,0.1657
Cotswold,E07000079,1.1122837,13.164257,0.0248,0.1736,0.3365,0.1845
Forest of Dean,E07000080,-10.037894,-1.0953859,0.0345,0.1352,0.2397,0.2452
Gloucester,E07000081,5.253734,-4.1218944,0.0426,0.213,0.222,0.2178
Stroud,E07000082,-5.0315876,16.044914,0.0281,0.1366,0.3287,0.182
Tewkesbury,E07000083,-5.201623,14.749084,0.0282,0.1427,0.3018,0.1881
Mendip,E07000187,-0.44057786,5.7151866,0.0292,0.1805,0.2787,0.2144
Sedgemoor,E07000188,-3.829391,-1.9760743,0.0358,0.179,0.2212,0.2506
South Somerset,E07000189,-4.7008996,4.6870217,0.0274,0.1677,0.2505,0.2193
Isle of Anglesey,W06000001,-1.3913265,-5.4700356,0.0469,0.1557,0.2608,0.2417
Gwynedd,W06000002,-1.693272,1.1516836,0.0357,0.1735,0.2643,0.2315
Conwy,W06000003,1.5591413,-4.623398,0.041,0.1899,0.2547,0.2557
Denbighshire,W06000004,1.9977735,-5.16818,0.0422,0.2003,0.2424,0.2545
Flintshire,W06000005,-9.080554,-1.5350565,0.0386,0.1321,0.2244,0.2351
Wrexham,W06000006,-7.2634783,-8.288394,0.0418,0.1583,0.2279,0.2669
Powys,W06000023,-3.3998783,1.140715,0.0305,0.1788,0.2634,0.2477
Ceredigion,W06000008,5.705696,5.1754894,0.0256,0.2062,0.2792,0.1982
Pembrokeshire,W06000009,-2.4617393,-2.932271,0.0404,0.1643,0.2476,0.2458
Carmarthenshire,W06000010,-8.999435,-4.194498,0.0373,0.1489,0.239,0.2675
Swansea,W06000011,-1.4146395,-1.58888,0.0386,0.1801,0.2585,0.2394
Neath Port Talbot,W06000012,-7.9479966,-15.023308,0.045,0.1387,0.1879,0.3092
Bridgend,W06000013,-6.318421,-10.08349,0.0456,0.1528,0.2256,0.2834
Vale of Glamorgan,W06000014,-6.2735543,7.876629,0.0431,0.1563,0.2978,0.2045
Cardiff,W06000015,12.485213,-2.4225411,0.0444,0.2429,0.3233,0.2073
